epoch=262 gen_loss=0.3360 critic_loss=-18.3846 gp=0.4927
epoch=263 gen_loss=0.0378 critic_loss=-18.3788 gp=0.4995
epoch=264 gen_loss=0.5713 critic_loss=-18.5509 gp=0.5040
epoch=265 gen_loss=-0.0605 critic_loss=-18.4388 gp=0.5058
epoch=266 gen_loss=0.3343 critic_loss=-18.5766 gp=0.5027
epoch=267 gen_loss=0.1419 critic_loss=-18.5605 gp=0.5085
epoch=268 gen_loss=0.0376 critic_loss=-18.5175 gp=0.5036
epoch=269 gen_loss=0.1493 critic_loss=-18.6943 gp=0.5093
epoch=270 gen_loss=0.2580 critic_loss=-18.6392 gp=0.5039
epoch=271 gen_loss=0.2409 critic_loss=-18.6276 gp=0.5071
epoch=272 gen_loss=0.0602 critic_loss=-18.7421 gp=0.5102
epoch=273 gen_loss=0.0784 critic_loss=-18.7647 gp=0.5164
epoch=274 gen_loss=0.2372 critic_loss=-18.7708 gp=0.5115
epoch=275 gen_loss=0.2847 critic_loss=-18.6156 gp=0.5099
epoch=276 gen_loss=-0.1337 critic_loss=-18.6987 gp=0.5120
epoch=277 gen_loss=0.2429 critic_loss=-18.9468 gp=0.5180
epoch=278 gen_loss=0.2691 critic_loss=-18.6239 gp=0.5106
epoch=279 gen_loss=0.1986 critic_loss=-19.0990 gp=0.5240
epoch=280 gen_loss=0.0177 critic_loss=-18.7792 gp=0.5233
epoch=281 gen_loss=0.0966 critic_loss=-18.7894 gp=0.5191
epoch=282 gen_loss=0.2164 critic_loss=-18.9614 gp=0.5192
epoch=283 gen_loss=0.3888 critic_loss=-18.9284 gp=0.5210
epoch=284 gen_loss=-0.1595 critic_loss=-19.0041 gp=0.5212
epoch=285 gen_loss=0.5254 critic_loss=-19.0434 gp=0.5307
epoch=286 gen_loss=0.0716 critic_loss=-19.0519 gp=0.5201
epoch=287 gen_loss=0.2112 critic_loss=-19.0851 gp=0.5286
epoch=288 gen_loss=0.0247 critic_loss=-19.1999 gp=0.5290
epoch=289 gen_loss=0.4186 critic_loss=-19.2509 gp=0.5400
epoch=290 gen_loss=-0.0376 critic_loss=-19.1072 gp=0.5228
epoch=291 gen_loss=0.2038 critic_loss=-19.2169 gp=0.5323
epoch=292 gen_loss=0.2078 critic_loss=-19.1750 gp=0.5335
epoch=293 gen_loss=0.1582 critic_loss=-19.4046 gp=0.5389
epoch=294 gen_loss=0.1868 critic_loss=-19.2012 gp=0.5369
epoch=295 gen_loss=0.0763 critic_loss=-19.2807 gp=0.5335
epoch=296 gen_loss=0.0505 critic_loss=-19.1674 gp=0.5358
epoch=297 gen_loss=0.0677 critic_loss=-19.3681 gp=0.5320
epoch=298 gen_loss=0.2188 critic_loss=-19.3356 gp=0.5379
epoch=299 gen_loss=0.1912 critic_loss=-19.3270 gp=0.5395
epoch=300 gen_loss=0.2398 critic_loss=-19.5493 gp=0.5445
epoch=301 gen_loss=0.2872 critic_loss=-19.4975 gp=0.5491
epoch=302 gen_loss=0.1710 critic_loss=-19.4927 gp=0.5456
epoch=303 gen_loss=0.3502 critic_loss=-19.4235 gp=0.5404
epoch=304 gen_loss=-0.0352 critic_loss=-19.5273 gp=0.5486
epoch=305 gen_loss=0.2009 critic_loss=-19.4552 gp=0.5460
epoch=306 gen_loss=0.0190 critic_loss=-19.5475 gp=0.5473
epoch=307 gen_loss=-0.0116 critic_loss=-19.6659 gp=0.5496
epoch=308 gen_loss=0.5400 critic_loss=-19.7480 gp=0.5580
